Ten_Sach;SKU;The_Loai;Gia;Ten_NCC;Ten_NXB;Nam_XB;Ten_Tac_Gia;Trong_Luong;Kich_Thuoc;So_Trang;Hinh_Thuc;Mo_Ta
Truyện Tranh Cổ Tích Thế Giới - Cuộc Phiêu Lưu Của Laurette (Tập 6);SKU: 8934974087892;Loại sản phẩm: SÁCH;11,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2009;Nhiều Tác Giả;;15 x 23;32;Bìa Mềm;Bộ Truyện Tranh Cổ Tích Thế Giới này được biên soạn mong muốn giới thiệu đến bạn đọc kho tàng văn học vốn chứa đựng những giá trị tinh thần và tri thức cực kì to lớn của nhận loại. Truyện Tranh Cổ Tích Thế Giới - Cuộc Phiêu Lưu Của Laurette (Tập 6) Bộ Truyện Tranh Cổ Tích Thế Giới này được biên soạn mong muốn giới thiệu đến bạn đọc kho tàng văn học vốn chứa đựng những giá trị tinh thần và tri thức cực kì to lớn của nhận loại. Bằng những nét vẽ mới mẻ, hóm hỉnh, hài hước, tập truyện tranh đã làm sống lại thế giới thần kì trong truyện cổ tích Cuộc Phiêu Lưu Của Laurette ...Chưa bao giờ câu chuyện về thế giới thần tiên lại trở nên gần gũi và sinh động trong cuộc sống đời thường đến vậy, mang lại cho trẻ em và người lớn những giây phút giải trí bổ ích và thoải mái.
Bé Tập Kể Chuyện - Anh Chàng Mèo Mướp;SKU: 8934974140641;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;;Nhiều Tác Giả;50;18.5 x 18.5;16;Bìa Mềm;Bé Tập Kể Chuyện - Anh Chàng Mèo Mướp Chuyện kể về anh chàng Mèo Mướp lười biếng và tham ăn. Khi các bạn tíu tít chuẩn bị sách vở cùng nhau tới trường thì Mèo ta nằm ngủ nướng đến trưa mới tỉnh dậy đi kiếm mồi ăn. Kiếm cả buổi không được con mồi nào đói bụng quá Mèo Mướp bị ngất xỉu, các bạn đi học về thấy bèn cõng Mèo Mướp về nhà. Khi tỉnh dậy các bạn kể chuyện ở trường lớp thật vui, Mèo Mướp nghe thích quá thế là ngày hôm sau mèo ta rất hào hứng cùng các bạn tới trường.
Bé Học Lễ Giáo - Bubu - Tập 18 - Đi Xe Đạp;SKU: 8934974139997;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;2016;;200;19 x 19;;Bìa Mềm;Bé Học Lễ Giáo - Bubu Tập 18: Đi Xe Đạp Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Tập Kể Chuyện - Món Quà Của Cô Giáo;SKU: 8934974140696;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;2016;Nhật Tân;80;;;Bìa Mềm;Bé Tập Kể Chuyện - Món Quà Của Cô Giáo Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Tập Kể Chuyện - Chú Chuột Trả Ơn;SKU: 8934974140634;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;2016;Mẹ Của Pôn và Oliu;250;26 x 19;100;Bìa Mềm;Chú Chuột Trả Ơn
Bé Tập Kể Chuyện - Tích Chu;SKU: 8934974138914;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;2016;Nguyễn Hoàng;250;18.5 x 18.5;16;Bìa Mềm;Bé Tập Kể Chuyện - Tích Chu Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Thỏ Quậy Và Thỏ Nhí (Tập 11) - Bà Già Trúng Nắng;SKU: 8934974101215;Loại sản phẩm: Nhóm Sách Thiếu Nhi;13,230₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2011;Hà Hải Châu;;19 x 26;24;Bìa Mềm;Thỏ quậy và Thỏ Nhí là bộ truyện tranh ngộ nghĩnh, đáng yêu. Nội dung truyện kể về những câu chuyện, tình huống hài hước của Thỏ và những người bạn trong khu rừng. Thỏ Quậy Và Thỏ Nhí (Tập 11) - Bà Già Trúng Nắng Thỏ quậy và Thỏ Nhí là bộ truyện tranh ngộ nghĩnh, đáng yêu. Nội dung truyện kể về những câu chuyện, tình huống hài hước của Thỏ và những người bạn trong khu rừng. Thông qua đó, các em sẽ học được nhiều bài học thú vị trong cuộc sống: biết yêu thương, giúp đỡ người khác, biết phân biệt đúng - sai, biết rèn những thói quen tốt, tránh xa những thói hư tật xấu... Sách in màu, có tranh vẽ minh họa sinh động, hấp dẫn. Thỏ quậy Thỏ Nhí sẽ bày ra trò quậy gì kế tiếp đây? Cùng đón đọc tập 11 Bà già trúng nắng.
Bé Tập Kể Chuyện - Tình Mẹ Con;SKU: 8934974140603;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;;Tiểu Vi Thanh;80;;;Bìa Mềm;Bé Tập Kể Chuyện - Tình Mẹ Con Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Tập Kể Chuyện - Sự Tích Bánh Chưng Bánh Giầy;SKU: 8934974140719;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;;;50;18.5 x 18.5;16;Bìa Mềm;Bé Tập Kể Chuyện - Sự Tích Bánh Chưng Bánh Dày Bánh chưng là thức không thể thiếu trong mâm cỗ ngày tết của mỗi gia đình. Sự tích Bánh chưng, bánh dày - mỗi chúng ta ai cũng được biết từ ngày còn bé. Lúa gạo là loại lương thực quý giá nhất vì đã nuôi sống con người. Nó được làm từ chính mồ hôi công sức của con người. Bởi vậy, trong lễ hội mà nhà vua tổ chức để tế lễ trời đất, Lang Liêu đã dâng lên hai thứ bánh làm từ những hạt gạo thơm ngon nhất. Một bánh hình tròn tượng trưng cho trời (bánh dày), một bánh hình vuông tượng trưng cho đất (bánh chưng). Hàm ý công ơn cha mẹ cũng lớn tựa trời đất. Đó là sự tích và ý nghĩa của bánh chưng, bánh dày - đồ tế lễ truyền thống của người Việt trong những dịp tết để lễ trời đất và tưởng nhớ công ơn của cha mẹ, tổ tiên.
Bé Tập Kể Chuyện - Sơn Tinh Thuỷ Tinh;SKU: 8934974153207;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;;Nhiều Tác Giả;80;18.5 x 18.5;15;Bìa Mềm;Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Tập Kể Chuyện - Dê Con Nhanh Trí;SKU: 8934974139799;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;2016;Nhiều Tác Giả;80;18.5 x 18.5 x 0.3 cm;16;Bìa Mềm;"Dê Con ấy mà, bé biết không, ngoan lắm cơ, rất biết nghe lời mẹ. Không chỉ ngoan, Dê Con còn thông minh nữa. Dê con thông minh ra sao? Dê Con đã làm gì để tránh mắc mưu lão Sói hung ác? Bé tìm đọc Dê Con Nhanh Trí trong bộ sách ""Bé tập kể chuyện – Mỗi tuần một câu chuyện"" để biết câu chuyện về chú Dê Con ngoan ngoãn biết vâng lời mẹ và thông minh nhanh trí nhé. Với nét vẽ tươi mới, hồn nhiên, 52 tập của bộ sách ""Bé tập kể chuyện – Mỗi tuần một câu chuyện"", tương ứng với 52 tuần trong một năm, giúp bé mỗi tuần đều có một câu chuyện hấp dẫn để tập kể, qua đó học được một bài học hay."
Bé Tập Kể Chuyện - Qua Đường;SKU: 8934974140702;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;;Nhiều Tác Giả;80;18.5 x 18.5;16;Bìa Mềm;Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Học Lễ Giáo - Bubu - Tập 41 Bubu Không Sạch Sẽ;SKU: 8934974137504;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Nhiều Tác Giả;40;19 x 19;16;Bìa Mềm;Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. Bé Học Lễ Giáo - Bubu - Tập 41: Bubu Không Sạch Sẽ
Bé Học Lễ Giáo - Bubu - Tập 22 - Thích Khủng Long;SKU: 8934974136828;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Bé Học Lễ Giáo - Bubu Tập 22: Thích Khủng Long Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Học Lễ Giáo - Bubu - Tập 50 - Vẽ Tranh;SKU: 8934974136811;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Bé Học Lễ Giáo - Bubu 50: Vẽ Tranh Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Các Giá Trị Dạy Nên Con Người - Chuyến Rong Chơi Của Tê Tê Alice;SKU: 8934974092056;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,355₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2009;Felicia Law;50;14 x 19;30;Bìa Mềm;CÁC GIÁ TRỊ DẠY CON NÊN NGƯỜI gồm các câu chuyện ngắn về các con vật dễ thương, quen thuộc với các em: cá heo, ngựa vằn, gấu, sư tử… Thông qua những tính cách nổi bật của các con vật này là những bài học về sự quả cảm, sự tự khám phá, lòng tốt bụng, sự xấu bụng và tính ích kỷ, tính ỷ lại và sự nhút nhát,… Các Giá Trị Dạy Nên Con Người - Chuyến Rong Chơi Của Tê Tê Alice Gồm các câu chuyện ngắn về các con vật dễ thương, quen thuộc với các em: cá heo, ngựa vằn, gấu, sư tử… Thông qua những tính cách nổi bật của các con vật này là những bài học về sự quả cảm, sự tự khám phá, lòng tốt bụng, sự xấu bụng và tính ích kỷ, tính ỷ lại và sự nhút nhát,… được lồng ghép trong chuyện, giúp các em học những tính tốt, khắc phục những hạn chế bản than, từ bỏ những tính xấu để trở thành một người bản lĩnh, sáng tạo, khiếm tốn, trách nhiệm và tốt bụng… Sau mỗi câu chuyện lý thú là phần các giá trị và bài học được rút ra từ truyện giúp các bậc phụ huynh, quý thầy cô phân tích, giảng giải và gợi mở thêm để các em liên tưởng và ứng dụng vào các tình huống thực tế một cách dễ dàng. Bài học từ câu chuyện này là dạy trẻ biết đón nhận những thách thức, những thách thức ấy có khi là những rủi ro nhưng qua đó giúp trẻ khám phá và học hỏi được nhiều điều thú vị của cuộc sống.
Các Giá Trị Dạy Nên Con Người - Gấu Baffin Hung Hăng;SKU: 8934974092094;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,355₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2009;Felicia Law;50;14 x 19;30;Bìa Mềm;CÁC GIÁ TRỊ DẠY CON NÊN NGƯỜI gồm các câu chuyện ngắn về các con vật dễ thương, quen thuộc với các em: cá heo, ngựa vằn, gấu, sư tử… Thông qua những tính cách nổi bật của các con vật này là những bài học về sự quả cảm, sự tự khám phá, lòng tốt bụng, sự xấu bụng và tính ích kỷ, tính ỷ lại và sự nhút nhát Các Giá Trị Dạy Nên Con Người - Gấu Baffin Hung Hăng Gồm các câu chuyện ngắn về các con vật dễ thương, quen thuộc với các em: cá heo, ngựa vằn, gấu, sư tử… Thông qua những tính cách nổi bật của các con vật này là những bài học về sự quả cảm, sự tự khám phá, lòng tốt bụng, sự xấu bụng và tính ích kỷ, tính ỷ lại và sự nhút nhát,… được lồng ghép trong chuyện, giúp các em học những tính tốt, khắc phục những hạn chế bản than, từ bỏ những tính xấu để trở thành một người bản lĩnh, sáng tạo, khiếm tốn, trách nhiệm và tốt bụng… Sau mỗi câu chuyện lý thú là phần các giá trị và bài học được rút ra từ truyện giúp các bậc phụ huynh, quý thầy cô phân tích, giảng giải và gợi mở thêm để các em liên tưởng và ứng dụng vào các tình huống thực tế một cách dễ dàng. GẤU BAFFIN HUNG HĂNG là câu chuyện về tính ích kỷ của gấu Baffin qua việc xua đuổi và gầm gừ khi có bất kì con vật nào đi qua nhánh sông yêu quý của nó: đàn chim, đàn cá hội, những con tuần lộc…, nó chỉ muốn nhánh sông ấy là của riêng mình nó, không muốn chia sẻ với bất kỳ ai. Chỉ đến khi gặp nạn được mọi người cứu thoát, Baffin mới nhận ra rằng cần phải chia sẻ nhánh sông yêu quý và đẹp đẽ này cùng mọi người, để có thêm bạn bè giúp đỡ những lúc khó khăn. Qua câu chuyện này giúp bé sống biết chia sẻ để có thêm nhiều bạn bè và nhiều niềm vui.
Bé Tập Tô Màu - Động Vật Vui Nhộn 2;SKU: 8934974120179;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,610₫;;Trẻ;2013;;110;19x26;16;Bìa Mềm;Đây là bộ sách Bé tập tô màu tái hiện lại các trò chơi dân gian sinh động, với mỗi trang đôi là một bức tranh đẹp sống động, ngộ nghĩnh.Bìa 4 giới thiệu kèm cuốn Những trò chơi dân gian đã ra để phụ huynh và các em nhỏ có thể tìm hiểu các trò chơi dân gian qua bộ sách này.
Bé Tập Kể Chuyện - Mỗi Tuần Một Câu Chuyện: Tập Qua Đường;SKU: 8934974144465;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt. Bé Tập Kể Chuyện là bộ tranh truyện cổ tích, đồng thoại dành cho các bé tuổi mẫu giáo. Thông qua hình thức truyện kể có hình minh họa màu sinh động giúp các bé tiếp cận với những câu chuyện mang tính giáo dục được dễ dàng hơn, giúp hình thành nhân cách cho các bé sau này. Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Tập Tô Màu - Trò Chơi Dân Gian - Tập 4;SKU: 8934974146964;Loại sản phẩm: Nhóm Sách Thiếu Nhi;10,780₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2017;Biên Thùy;60;19 x 26;16;Bìa Mềm;Đây là bộ sách Bé tập tô màu tái hiện lại các trò chơi dân gian sinh động, với mỗi trang đôi là một bức tranh đẹp sống động, ngộ nghĩnh.Bìa 4 giới thiệu kèm cuốn Những trò chơi dân gian đã ra để phụ huynh và các em nhỏ có thể tìm hiểu các trò chơi dân gian qua bộ sách này.
Các Giá Trị Dạy Nên Con Người - Sư Tử Limpopo Chảy Thây;SKU: 8934974092070;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,355₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2009;Felicia Law;50;14 x 19;30;Bìa Mềm;Sư tử Limpopo là chúa kiêu căng. Mấy bà vợ của nó hầu hạ nó tận móng tay, và đám con thì hết sức kính trọng nó. Đời chẳng còn gì đẹp hơn! Các Giá Trị Dạy Nên Con Người - Sư Tử Limpopo Chảy Thây Các Giá Trị Dạy Nên Con Người gồm các câu chuyện ngắn về các con vật dễ thương, quen thuộc với các em: cá heo, ngựa vằn, gấu, sư tử… Thông qua những tính cách nổi bật của các con vật này là những bài học về sự quả cảm, sự tự khám phá, lòng tốt bụng, sự xấu bụng và tính ích kỷ, tính ỷ lại và sự nhút nhát… giúp các em học những tính tốt, khắc phục những hạn chế bản thân, từ bỏ những tính xấu để trở thành một người bản lĩnh, sáng tạo, khiêm tốn, trách nhiệm và tốt bụng… Sau mỗi câu chuyện lý thú là các giá trị và bài học giúp các bậc phụ huynh, quý thầy cô phân tích, giảng giải và gợi mở thêm để các em liên tưởng và ứng dụng vào các tình huống thực tế một cách dễ dàng. Sư tử Limpopo là chúa kiêu căng. Mấy bà vợ của nó hầu hạ nó tận móng tay, và đám con thì hết sức kính trọng nó. Đời chẳng còn gì đẹp hơn! Nhưng tất cả đều thay đổi khi đám vợ của Limpopo rủ nhau đi nghỉ và Limpopo buộc lòng phải tự lo lấy thân! Qua câu chuyện về tính lười biếng và thờ ơ của sư tử Limpopo giúp các bé thấy được sự phụ thuộc hoàn toàn vào người khác sẽ có lúc khiến mình bối rối, vì mọi người không thể lúc nào cũng ở bên mà giúp bé được, bé sẽ phải tự làm để hình thành tính tự lập cho mình từ nhỏ.
Bé Học Lễ Giáo - Bubu - Tập 25: Bubu Đi Nhổ Răng;SKU: 8934974136804;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Nhiều Tác Giả;40;19 x 19;16;Bìa Mềm;Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. Bé Học Lễ Giáo - Bubu Tập 25: Bubu Đi Nhổ Răng
Chuyện của Xu Bông - đồ chơi của Mèo cam;SKU: 8934974131960;Loại sản phẩm: Nhóm Sách Thiếu Nhi;10,780₫;;;;;;;;;Xu Bông – yêu màu hồng, khoái bánh ngọt… nhưng cũng rất hiếu động và nghịch ngợm Xu Bông – mít ướt, điệu đàng… nhưng rất biết quan tâm đến mọi người xung quanh Xu Bông – hay tò mò, ưa thắc mắc… nhưng cũng rất có chủ ý, biết bảo vệ ý kiến của mình Xu Bông – bạn của các bé gái mầm non. Bộ tranh truyện dành cho các bé gái ở độ tuổi mầm non. Thông qua những tình huống đời thường, Xu Bông đã chia sẻ với các bạn nhỏ những câu chuyện thú vị của mình, giúp các bạn hiểu hơn về cuộc sống, dần nhận ra yêu thương, quan tâm là đến từ 2 phía… từ đó, định hình tính cách, biết yêu thương, quan tâm, chăm sóc mọi người xung quanh, tránh lối sống ích kỷ chỉ biết mình. Các tập tiếp theo: -Vì sao biển mặn -Nước mắt ông mặt trời -Đồ chơi của Mèo Cam -Một lần nhớ đời -Làm chị không khó
Học Tiếng Anh Qua Hình Tự Vẽ - Thú Animails;SKU: 8934974149972;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Từ một từ trong tiếng Anh, bạn đọc có thể phát triển thành hình vẽ ngộ nghĩnh. Chẳng hạn, với từ Cat ta có thể vẽ một bé mèo xinh xắn, với từ Monkey ta có thể vẽ một chú khỉ tinh nghịch... Cứ thế, bạn đọc nhỏ có thể ghi nhớ một số từ về thú như Cat, Dog, Pig, Cow, Sheep, Lion, Monkey. Học Tiếng Anh Qua Hình Tự Vẽ - Thú Animails Sách giúp các em từ 6 đến 9 tuổi vừa luyện tay vẽ vừa nhớ từ vựng tiếng Anh và vận dụng một cách tự nhiên.
Bé Học Lễ Giáo - Bubu - Tập 52 - Tia Chớp;SKU: 8934974136798;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Bé Học Lễ Giáo - Bubu Tập 52: Tia Chớp Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Học Lễ Giáo - Bubu - Tập 49 Bubu Bực Mình;SKU: 8934974140023;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Nhiều Tác Giả;40;19 x 19;16;Bìa Mềm;Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. Bé Học Lễ Giáo - Bubu - Tập 49: Bubu Bực Mình
Bé Học Lễ Giáo - Bubu - Tập 40 - Chơi Trốn Tìm;SKU: 8934974136873;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;;;;;;;;Bubu 40: Chơi Trốn Tìm Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Tập Kể Chuyện - Mỗi Tuần Một Câu Chuyện: Bông Hoa Cúc Trắng;SKU: 8934974150688;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;;;;;;;;Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt. Bé Tập Kể Chuyện là bộ tranh truyện cổ tích, đồng thoại dành cho các bé tuổi mẫu giáo. Thông qua hình thức truyện kể có hình minh họa màu sinh động giúp các bé tiếp cận với những câu chuyện mang tính giáo dục được dễ dàng hơn, giúp hình thành nhân cách cho các bé sau này. Dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại, hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt.
Bé Học Lễ Giáo - Bubu - Tập 6 - Làm Họa Sĩ;SKU: 8934974136743;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;;;200 gr;18.5 x 18.5 cm;;Bìa Mềm;Bé Học Lễ Giáo - Bubu Tập 6: Làm Họa Sĩ Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Học Lễ Giáo - Bubu - Tập 35 - Bubu Ganh Tỵ;SKU: 8934974139423;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2017;Nhiều Tác Giả;40;19 x 19;16;Bìa Mềm;Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. Bé Học Lễ Giáo - Bubu - Tập 35 - Bubu Ganh Tỵ
Bé Tập Kể Chuyện - Cây Táo Thần;SKU: 8934974139805;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;;NXB Trẻ;;Nhiều Tác Giả;80;18.5 x 18.5;18;Bìa Mềm;Bé Tập Kể Chuyện - Cây Táo Thần Cuốn sách nằm trong bộ sách Bé T ập Kể Chuyện đặc biệt được biên soạn dành cho các em thiếu nhi. Sách dựa theo chương trình kể chuyện của học sinh tiểu học, các câu chuyện được tóm lược lại với lời kể hấp dẫn kèm theo đó là hình ảnh minh họa sinh động. Nội dung sách hướng các em tới những điều hay lẽ phải, giáo dục các em những đức tính cần thiết để trở thành người công dân tốt, ba mẹ nên mua cho bé tự đọc hoặc dùng tập sách để kể chuyện cho bé nghe mỗi ngày. Nếu có một cây táo thần trong vườn nhà bé, bé sẽ làm gì? Ngày xưa, trong một khu vườn nọ cũng có một cây táo thần đó bé. Các bạn nhỏ trong xóm đều rất thích cây táo này và thường đến chơi đùa dưới gốc cây. Bỗng một hôm có một cậu bé lạ mặt xuất hiện, cậu giành lấy cây táo thần là của mình và không cho ai đến gần. Ơ, sao cậu ta ngang ngược thế nhỉ? Làm gì với cậu bé này bây giờ?
Bé Học Lễ Giáo - Bubu - Tập 60: Bubu Đội Mũ Bảo Hiểm;SKU: 8934974136934;Loại sản phẩm: Nhóm Sách Thiếu Nhi;5,100₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2018;Nhiều Tác Giả;40;19 x 19;16;Bìa Mềm;Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi. Bé Học Lễ Giáo - Bubu - Tập 60: Bubu Đội Mũ Bảo Hiểm
Bé học Lễ Giáo - Bubu - Tập 1 - Trung Thực;SKU: 8934974136927;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;;Văn Nghĩa;50;18.5 x 18.5;16;Bìa Mềm;Bubu 01: Trung Thực Những câu chuyện lễ giáo trong bộ sách này là những bài giáo dục đạo đức nho nhỏ giúp các em học hỏi những điều hay và tránh những thói quen, tật xấu để trở thành người con ngoan, trò giỏi.
Bé Tập Kể Chuyện - Ba Cô Gái;SKU: 8934974138921;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;;NXB Trẻ;2016;Nhiều Tác Giả;150;18.5 x 18.5;16;Bìa Mềm;Bé Tập Kể Chuyện - Ba Cô Gái Ngày xửa ngày xưa, có bà mẹ sinh được ba cô con gái xinh đẹp. Chồng mất sớm, bà ở vậy tần tảo nuôi các con nên người. Rồi cũng đến lúc các cô gái lấy chồng ở xa. Bà mẹ già đau ốm nên nhờ Sóc Đỏ đưa thư gọi các cô về. Thương mẹ quá, nhưng các cô cũng bận ơi là bận. Rồi làm sao đây? Nếu là bé, bé có chạy ngay về với mẹ không? Bé tìm đọc Ba cô gái trong bộ sách Bé tập kể chuyện – Mỗi tuần một câu chuyện để biết các cô gái trong câu chuyện này sẽ làm gì nhé. Với nét vẽ tươi mới, hồn nhiên, 52 tập của bộ sách Bé tập kể chuyện – Mỗi tuần một câu chuyện, tương ứng với 52 tuần trong một năm, giúp bé mỗi tuần đều có một câu chuyện hấp dẫn để tập kể, qua đó học được một bài học hay.
Bé Tập Kể Chuyện - Món Quà Quý Nhất;SKU: 8934974153221;Loại sản phẩm: Nhóm Sách Thiếu Nhi;9,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2017;Nhiều Tác Giả;50;19 x 19;16;Bìa Mềm;Món quà quý nhất có phải là kim cương, vàng bạc đá quý, hay là những sơn hào hải vị?... Nếu không phải thì nó là gì các em nhỉ? Mời các em cùng đọc truyện để xem món quà quý nhất là gì nhé! Bé Tập Kể Chuyện - Món Quà Quý Nhất Món quà quý nhất có phải là kim cương, vàng bạc đá quý, hay là những sơn hào hải vị?... Nếu không phải thì nó là gì các em nhỉ? Mời các em cùng đọc truyện để xem món quà quý nhất là gì nhé!
